scanned 1692 files, 19341 fragments, 1844 candidate pairs
reported 129 pairs above threshold (0 whole-file clone group(s) suppressed)
  src/slic3r/GUI/Gizmos/GLGizmoAdvancedCut.cpp:123-194  <->  src/slic3r/GUI/Gizmos/GLGizmoColorCut.cpp:325-396  (EXACT, weighted=1, line=1)
  src/slic3r/GUI/Gizmos/GLGizmoAdvancedCut.cpp:2406-2415  <->  src/slic3r/GUI/Gizmos/GLGizmoColorCut.cpp:2824-2833  (EXACT, weighted=1, line=1)
  src/slic3r/GUI/Gizmos/GLGizmoAdvancedCut.cpp:2988-3050  <->  src/slic3r/GUI/Gizmos/GLGizmoColorCut.cpp:3389-3451  (EXACT, weighted=1, line=1)
  src/slic3r/GUI/MultiTaskManagerPage.cpp:562-576  <->  src/slic3r/GUI/SendMultiMachinePage.cpp:1225-1239  (MIXED, weighted=1, line=0.636364)
  src/slic3r/GUI/Gizmos/GLGizmoAdvancedCut.cpp:490-493  <->  src/slic3r/GUI/Gizmos/GLGizmoColorCut.cpp:706-709  (EXACT, weighted=1, line=1)
  src/libslic3r/AABBMesh.cpp:201-208  <->  src/libslic3r/SLA/IndexedMesh.cpp:196-203  (RENAMED, weighted=1, line=0.777778)
  src/slic3r/GUI/Gizmos/GLGizmoAdvancedCut.cpp:546-552  <->  src/slic3r/GUI/Gizmos/GLGizmoColorCut.cpp:762-768  (EXACT, weighted=1, line=1)
  src/slic3r/GUI/Gizmos/GLGizmoAdvancedCut.cpp:916-981  <->  src/slic3r/GUI/Gizmos/GLGizmoColorCut.cpp:1012-1077  (EXACT, weighted=1, line=1)
  src/slic3r/GUI/Gizmos/GLGizmoAdvancedCut.cpp:986-1003  <->  src/slic3r/GUI/Gizmos/GLGizmoColorCut.cpp:1082-1099  (EXACT, weighted=1, line=1)
  src/slic3r/GUI/Gizmos/GLGizmoAdvancedCut.cpp:1066-1094  <->  src/slic3r/GUI/Gizmos/GLGizmoColorCut.cpp:1162-1190  (EXACT, weighted=1, line=1)
  src/libslic3r/FuzzySkin.cpp:21-24  <->  src/libslic3r/PerimeterGenerator.cpp:29-33  (EXACT, weighted=1, line=0.8)
